state,effective_tax_rate
AL,0.0042
AK,0.0118
AZ,0.0069
AR,0.0063
CA,0.0076
CO,0.0053
CT,0.0211
DE,0.0056
DC,0.0055
FL,0.0093
GA,0.0091
HI,0.0027
ID,0.0072
IL,0.0230
IN,0.0086
IA,0.0156
KS,0.0141
KY,0.0086
LA,0.0053
ME,0.0136
MD,0.0109
MA,0.0123
MI,0.0158
MN,0.0113
MS,0.0081
MO,0.0097
MT,0.0084
NE,0.0177
NV,0.0064
NH,0.0220
NJ,0.0247
NM,0.0079
NY,0.0171
NC,0.0085
ND,0.0099
OH,0.0158
OK,0.0090
OR,0.0101
PA,0.0159
RI,0.0166
SC,0.0057
SD,0.0132
TN,0.0073
TX,0.0181
UT,0.0064
VT,0.0188
VA,0.0081
WA,0.0101
WV,0.0059
WI,0.0191
WY,0.0061